Merk,Model,Uitvoering,Modeljaar,Fiscale waarde,Energiebron,Transmissie,CO2-Uitstoot (g/km),Aantal zitplaatsen,Looptijd,Jaarkilometrage,Leaseprijs/mnd
Alfa Romeo,Giulia,2.0 GME 280 Veloce AWD auto,2024,80800,Benzine,Automaat,184,5,36,20000,1490
Alfa Romeo,Giulia,2.0 GME 280 Veloce AWD auto,2024,80800,Benzine,Automaat,184,5,36,30000,1590
Alfa Romeo,Giulia,2.0 GME 280 Veloce AWD auto,2024,80800,Benzine,Automaat,184,5,36,40000,1686
Alfa Romeo,Giulia,2.0 GME 280 Veloce AWD auto,2024,80800,Benzine,Automaat,184,5,48,20000,1359
Alfa Romeo,Giulia,2.0 GME 280 Veloce AWD auto,2024,80800,Benzine,Automaat,184,5,48,30000,1451
Alfa Romeo,Giulia,2.0 GME 280 Veloce AWD auto,2024,80800,Benzine,Automaat,184,5,60,20000,1274
Alfa Romeo,Giulia,2.0 GME 280 Veloce AWD auto,2024,80800,Benzine,Automaat,184,5,60,30000,1360
Alfa Romeo,Giulia,2.0 GME 280 Veloce AWD auto,2024,80800,Benzine,Automaat,184,5,60,40000,1452
Alfa Romeo,Giulia,2.9 V6 520 Quadrifoglio RWD auto,2024,154900,Benzine,Automaat,229,5,36,20000,2614
Alfa Romeo,Giulia,2.9 V6 520 Quadrifoglio RWD auto,2024,154900,Benzine,Automaat,229,5,36,30000,2776
Alfa Romeo,Giulia,2.9 V6 520 Quadrifoglio RWD auto,2024,154900,Benzine,Automaat,229,5,36,40000,2932
Alfa Romeo,Giulia,2.9 V6 520 Quadrifoglio RWD auto,2024,154900,Benzine,Automaat,229,5,48,20000,2359
Alfa Romeo,Giulia,2.9 V6 520 Quadrifoglio RWD auto,2024,154900,Benzine,Automaat,229,5,48,30000,2506
Alfa Romeo,Giulia,2.9 V6 520 Quadrifoglio RWD auto,2024,154900,Benzine,Automaat,229,5,60,20000,2189
Alfa Romeo,Giulia,2.9 V6 520 Quadrifoglio RWD auto,2024,154900,Benzine,Automaat,229,5,60,30000,2323
Alfa Romeo,Giulia,2.9 V6 520 Quadrifoglio RWD auto,2024,154900,Benzine,Automaat,229,5,60,40000,2461
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica,2024,38000,Elektrisch,Automaat,0,5,36,20000,735
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica,2024,38000,Elektrisch,Automaat,0,5,36,30000,783
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica,2024,38000,Elektrisch,Automaat,0,5,36,40000,828
